==00:02:57==,,,
編號,站名,往南港展覽館,往動物園
BR01,動物園,1111,----
BR02,木柵,----,----
BR03,萬芳社區,----,----
BR04,萬芳醫院,----,1111
BR05,辛亥,----,1111
BR06,麟光,1221,----
BR07,六張犁,2221,----
BR08,科技大樓,----,----
BR09,大安,----,1111
BR10,大安森林公園,----,2111
BR11,忠孝復興,1111,----
BR12,南京復興,1111,----
BR13,中山國中,----,----
BR14,松山機場,----,1111
BR15,大直,1111,----
BR16,劍南路,1111,----
BR17,西湖,----,----
BR18,港墘,----,----
BR19,文德,----,1111
BR20,內湖,----,1111
BR21,大湖公園,----,----
BR22,葫洲,----,----
BR23,東湖,----,----
BR24,南港展覽館,----,----
==06:00:07==,,,
BR01,動物園,----,----
BR02,木柵,----,----
BR03,萬芳社區,----,----
BR04,萬芳醫院,1111,----
BR05,辛亥,1111,----
BR06,麟光,----,----
BR07,六張犁,----,----
BR08,科技大樓,----,----
BR09,大安,----,----
BR10,大安森林公園,----,----
BR11,忠孝復興,----,----
BR12,南京復興,----,----
BR13,中山國中,----,----
BR14,松山機場,----,----
BR15,大直,----,1111
BR16,劍南路,----,----
BR17,西湖,----,----
BR18,港墘,----,----
BR19,文德,----,----
BR20,內湖,----,----
BR21,大湖公園,----,1111
BR22,葫洲,----,1111
BR23,東湖,----,----
BR24,南港展覽館,----,----
==07:00:06==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,----,----
BR05,辛亥,1111,1111
BR06,麟光,1111,2112
BR07,六張犁,1111,2212
BR08,科技大樓,1111,2222
BR09,大安,1111,2222
BR10,大安森林公園,1111,2322
BR11,忠孝復興,1111,3323
BR12,南京復興,1111,----
BR13,中山國中,1111,2222
BR14,松山機場,1111,----
BR15,大直,1111,2211
BR16,劍南路,1111,1111
BR17,西湖,1111,1111
BR18,港墘,1111,----
BR19,文德,1111,1121
BR20,內湖,1111,1121
BR21,大湖公園,1111,----
BR22,葫洲,1111,1122
BR23,東湖,1211,1122
BR24,南港展覽館,1111,----
==10:10:44==,,,
BR01,動物園,1111,----
BR02,木柵,2111,----
BR03,萬芳社區,1111,----
BR04,萬芳醫院,1111,1122
BR05,辛亥,----,2222
BR06,麟光,1211,2212
BR07,六張犁,1211,----
BR08,科技大樓,3121,3223
BR09,大安,3122,3223
BR10,大安森林公園,2121,3332
BR11,忠孝復興,----,4344
BR12,南京復興,2111,3344
BR13,中山國中,2111,2311
BR14,松山機場,----,3322
BR15,大直,2111,3322
BR16,劍南路,----,1111
BR17,西湖,1121,----
BR18,港墘,1111,1111
BR19,文德,----,----
BR20,內湖,----,1111
BR21,大湖公園,1111,----
BR22,葫洲,----,----
BR23,東湖,----,1111
BR24,南港展覽館,----,1111
==11:00:06==,,,
BR01,動物園,1111,1111
BR02,木柵,----,1111
BR03,萬芳社區,1111,----
BR04,萬芳醫院,----,1111
BR05,辛亥,1111,1111
BR06,麟光,----,----
BR07,六張犁,2122,----
BR08,科技大樓,1122,2223
BR09,大安,2222,2222
BR10,大安森林公園,2222,----
BR11,忠孝復興,----,3222
BR12,南京復興,2221,2222
BR13,中山國中,----,2222
BR14,松山機場,2122,2222
BR15,大直,1111,2222
BR16,劍南路,1121,----
BR17,西湖,1122,1111
BR18,港墘,1111,1111
BR19,文德,1111,----
BR20,內湖,----,1111
BR21,大湖公園,1111,1111
BR22,葫洲,1111,1111
BR23,東湖,1111,1111
BR24,南港展覽館,1111,----
==12:00:08==,,,
BR01,動物園,----,----
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,----,1111
BR05,辛亥,1111,1111
BR06,麟光,----,1111
BR07,六張犁,2121,2211
BR08,科技大樓,2111,2123
BR09,大安,2212,1122
BR10,大安森林公園,2112,----
BR11,忠孝復興,----,2212
BR12,南京復興,2123,2211
BR13,中山國中,----,----
BR14,松山機場,2122,1123
BR15,大直,----,2122
BR16,劍南路,----,----
BR17,西湖,----,1121
BR18,港墘,1111,1121
BR19,文德,1111,----
BR20,內湖,----,1111
BR21,大湖公園,1111,1111
BR22,葫洲,1111,1121
BR23,東湖,----,1111
BR24,南港展覽館,----,----
==13:11:06==,,,
BR01,動物園,1111,1111
BR02,木柵,1121,1111
BR03,萬芳社區,1121,1111
BR04,萬芳醫院,1122,1111
BR05,辛亥,----,----
BR06,麟光,----,----
BR07,六張犁,----,----
BR08,科技大樓,----,1123
BR09,大安,3222,1122
BR10,大安森林公園,3122,3222
BR11,忠孝復興,2122,3322
BR12,南京復興,2112,----
BR13,中山國中,2222,2112
BR14,松山機場,1212,2122
BR15,大直,2211,1111
BR16,劍南路,2211,1111
BR17,西湖,1111,----
BR18,港墘,1111,----
BR19,文德,1111,----
BR20,內湖,1111,1111
BR21,大湖公園,1111,1111
BR22,葫洲,1111,1111
BR23,東湖,----,1111
BR24,南港展覽館,----,1111
==14:00:12==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,1111,----
BR06,麟光,2111,1121
BR07,六張犁,2111,1122
BR08,科技大樓,2222,2123
BR09,大安,2222,2223
BR10,大安森林公園,2112,2222
BR11,忠孝復興,2113,2322
BR12,南京復興,----,2132
BR13,中山國中,2111,2121
BR14,松山機場,2111,----
BR15,大直,2121,----
BR16,劍南路,1111,2212
BR17,西湖,1111,3211
BR18,港墘,1111,1111
BR19,文德,1111,----
BR20,內湖,1111,1111
BR21,大湖公園,1111,1111
BR22,葫洲,1111,1121
BR23,東湖,----,----
BR24,南港展覽館,----,----
==15:00:06==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,2111,1111
BR05,辛亥,2111,----
BR06,麟光,----,----
BR07,六張犁,----,1112
BR08,科技大樓,----,----
BR09,大安,2222,2122
BR10,大安森林公園,2212,2222
BR11,忠孝復興,3212,2222
BR12,南京復興,3212,2222
BR13,中山國中,2222,2221
BR14,松山機場,2222,----
BR15,大直,1112,----
BR16,劍南路,1111,----
BR17,西湖,1111,1112
BR18,港墘,1111,1112
BR19,文德,1111,1111
BR20,內湖,1111,1111
BR21,大湖公園,1111,----
BR22,葫洲,----,1111
BR23,東湖,1111,1111
BR24,南港展覽館,1111,1111
==16:04:03==,,,
BR01,動物園,----,----
BR02,木柵,----,----
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,----,----
BR05,辛亥,1111,----
BR06,麟光,----,2112
BR07,六張犁,----,----
BR08,科技大樓,----,----
BR09,大安,----,----
BR10,大安森林公園,2221,----
BR11,忠孝復興,----,----
BR12,南京復興,2113,----
BR13,中山國中,----,2121
BR14,松山機場,2211,1211
BR15,大直,----,----
BR16,劍南路,----,1122
BR17,西湖,----,1121
BR18,港墘,----,----
BR19,文德,1111,1211
BR20,內湖,----,1121
BR21,大湖公園,1111,----
BR22,葫洲,----,1121
BR23,東湖,----,----
BR24,南港展覽館,1111,1111
==17:05:02==,,,
BR01,動物園,1111,----
BR02,木柵,1111,----
BR03,萬芳社區,----,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,2111,1111
BR06,麟光,1111,1122
BR07,六張犁,1111,2222
BR08,科技大樓,2212,2122
BR09,大安,2212,2222
BR10,大安森林公園,2112,----
BR11,忠孝復興,2223,2322
BR12,南京復興,----,2223
BR13,中山國中,3211,3222
BR14,松山機場,2232,2121
BR15,大直,3122,3222
BR16,劍南路,2212,1122
BR17,西湖,2211,1121
BR18,港墘,1111,2221
BR19,文德,1111,2222
BR20,內湖,----,1221
BR21,大湖公園,1111,1111
BR22,葫洲,1111,1121
BR23,東湖,----,----
BR24,南港展覽館,1111,1111
==18:04:28==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,2221,1112
BR06,麟光,2222,1111
BR07,六張犁,1222,1122
BR08,科技大樓,3322,3223
BR09,大安,3432,3323
BR10,大安森林公園,3333,3333
BR11,忠孝復興,4344,3333
BR12,南京復興,4444,3333
BR13,中山國中,3433,2333
BR14,松山機場,3344,2232
BR15,大直,3333,2222
BR16,劍南路,3323,2233
BR17,西湖,2211,2233
BR18,港墘,1111,2232
BR19,文德,1111,2222
BR20,內湖,1111,2122
BR21,大湖公園,1111,2232
BR22,葫洲,1111,1232
BR23,東湖,----,2232
BR24,南港展覽館,1111,1111
==19:06:02==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,2111,1111
BR06,麟光,1211,1111
BR07,六張犁,2211,1111
BR08,科技大樓,2112,1112
BR09,大安,2221,2223
BR10,大安森林公園,2222,2122
BR11,忠孝復興,3233,2222
BR12,南京復興,3333,2222
BR13,中山國中,3333,2222
BR14,松山機場,3333,1222
BR15,大直,3333,2232
BR16,劍南路,3333,2232
BR17,西湖,2111,2132
BR18,港墘,1111,2122
BR19,文德,1111,2111
BR20,內湖,1111,1121
BR21,大湖公園,1111,1121
BR22,葫洲,2211,1121
BR23,東湖,----,----
BR24,南港展覽館,1111,1111
==20:00:06==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,1111,1111
BR06,麟光,1121,1111
BR07,六張犁,2121,1111
BR08,科技大樓,3222,1112
BR09,大安,3222,1212
BR10,大安森林公園,2131,1112
BR11,忠孝復興,2222,2112
BR12,南京復興,2133,1212
BR13,中山國中,2233,2112
BR14,松山機場,2232,1111
BR15,大直,2223,2121
BR16,劍南路,2222,1212
BR17,西湖,2111,1112
BR18,港墘,1111,1111
BR19,文德,1111,1121
BR20,內湖,1111,1121
BR21,大湖公園,2111,1111
BR22,葫洲,1111,1111
BR23,東湖,1211,1111
BR24,南港展覽館,2211,1111
==21:00:06==,,,
BR01,動物園,----,1111
