==00:12:44==,,,
編號,站名,往南港展覽館,往動物園
BR01,動物園,----,----
BR02,木柵,1111,----
BR03,萬芳社區,----,1111
BR04,萬芳醫院,----,1111
BR05,辛亥,----,----
BR06,麟光,1111,----
BR07,六張犁,1111,----
BR08,科技大樓,----,1111
BR09,大安,----,1111
BR10,大安森林公園,----,----
BR11,忠孝復興,----,----
BR12,南京復興,1111,----
BR13,中山國中,----,1111
BR14,松山機場,----,----
BR15,大直,----,----
BR16,劍南路,1111,----
BR17,西湖,1111,----
BR18,港墘,----,1111
BR19,文德,----,1111
BR20,內湖,----,----
BR21,大湖公園,----,----
BR22,葫洲,1111,----
BR23,東湖,----,1111
BR24,南港展覽館,----,----
==06:00:06==,,,
BR01,動物園,----,----
BR02,木柵,----,----
BR03,萬芳社區,----,----
BR04,萬芳醫院,1111,----
BR05,辛亥,1111,----
BR06,麟光,----,----
BR07,六張犁,----,----
BR08,科技大樓,----,----
BR09,大安,----,----
BR10,大安森林公園,----,----
BR11,忠孝復興,----,----
BR12,南京復興,----,----
BR13,中山國中,----,----
BR14,松山機場,----,1111
BR15,大直,----,1111
BR16,劍南路,----,----
BR17,西湖,----,----
BR18,港墘,----,----
BR19,文德,----,----
BR20,內湖,----,----
BR21,大湖公園,----,1111
BR22,葫洲,----,1111
BR23,東湖,----,----
BR24,南港展覽館,----,----
==07:00:04==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,----,1112
BR05,辛亥,1111,1111
BR06,麟光,1111,1112
BR07,六張犁,1111,1111
BR08,科技大樓,1111,1211
BR09,大安,1111,2121
BR10,大安森林公園,1111,2122
BR11,忠孝復興,2111,2122
BR12,南京復興,1111,----
BR13,中山國中,1111,2223
BR14,松山機場,1111,----
BR15,大直,1111,2222
BR16,劍南路,----,1112
BR17,西湖,2111,----
BR18,港墘,1111,----
BR19,文德,1111,1111
BR20,內湖,1111,1111
BR21,大湖公園,1111,----
BR22,葫洲,1111,1111
BR23,東湖,----,1121
BR24,南港展覽館,1111,----
==11:02:20==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,----
BR04,萬芳醫院,----,1111
BR05,辛亥,3322,1111
BR06,麟光,----,1212
BR07,六張犁,2211,1222
BR08,科技大樓,2212,2222
BR09,大安,2211,2222
BR10,大安森林公園,1221,----
BR11,忠孝復興,----,3322
BR12,南京復興,2222,2222
BR13,中山國中,----,----
BR14,松山機場,2122,----
BR15,大直,1121,1111
BR16,劍南路,1111,----
BR17,西湖,----,1121
BR18,港墘,1111,1121
BR19,文德,1111,----
BR20,內湖,----,1111
BR21,大湖公園,1111,1111
BR22,葫洲,1111,1121
BR23,東湖,----,----
BR24,南港展覽館,1111,----
==12:12:10==,,,
BR01,動物園,1111,----
BR02,木柵,----,----
BR03,萬芳社區,----,----
BR04,萬芳醫院,----,1111
BR05,辛亥,----,----
BR06,麟光,----,1112
BR07,六張犁,----,----
BR08,科技大樓,1211,1112
BR09,大安,----,----
BR10,大安森林公園,----,----
BR11,忠孝復興,----,----
BR12,南京復興,----,----
BR13,中山國中,----,----
BR14,松山機場,----,2222
BR15,大直,----,----
BR16,劍南路,----,----
BR17,西湖,----,----
BR18,港墘,----,----
BR19,文德,----,----
BR20,內湖,----,----
BR21,大湖公園,----,----
BR22,葫洲,----,----
BR23,東湖,----,----
BR24,南港展覽館,----,1111
==13:12:16==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1112
BR05,辛亥,1112,2112
BR06,麟光,2111,1111
BR07,六張犁,2111,1112
BR08,科技大樓,1111,2222
BR09,大安,2111,2222
BR10,大安森林公園,2212,2223
BR11,忠孝復興,2123,----
BR12,南京復興,2212,2232
BR13,中山國中,2211,2222
BR14,松山機場,2112,2211
BR15,大直,2111,1111
BR16,劍南路,2111,1111
BR17,西湖,1111,1111
