==06:03:23==,,,
編號,站名,往南港展覽館,往動物園
BR01,動物園,----,----
BR02,木柵,----,----
BR03,萬芳社區,----,----
BR04,萬芳醫院,----,----
BR05,辛亥,----,----
BR06,麟光,----,----
BR07,六張犁,----,----
BR08,科技大樓,----,----
BR09,大安,----,----
BR10,大安森林公園,----,----
BR11,忠孝復興,----,----
BR12,南京復興,----,----
BR13,中山國中,----,1111
BR14,松山機場,----,----
BR15,大直,----,----
BR16,劍南路,----,----
BR17,西湖,----,----
BR18,港墘,----,----
BR19,文德,----,----
BR20,內湖,----,----
BR21,大湖公園,----,----
BR22,葫洲,----,----
BR23,東湖,----,----
BR24,南港展覽館,----,----
==07:11:44==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,----
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,----
BR05,辛亥,1111,1111
BR06,麟光,1111,2112
BR07,六張犁,----,2223
BR08,科技大樓,2111,3212
BR09,大安,2111,2222
BR10,大安森林公園,2111,----
BR11,忠孝復興,1112,----
BR12,南京復興,1121,----
BR13,中山國中,2221,2232
BR14,松山機場,1111,1222
BR15,大直,1111,2212
BR16,劍南路,1111,1111
BR17,西湖,1111,1111
BR18,港墘,1111,----
BR19,文德,2111,1122
BR20,內湖,1111,----
BR21,大湖公園,1111,----
BR22,葫洲,1111,----
BR23,東湖,1211,----
BR24,南港展覽館,1111,1111
==09:06:51==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,1111,2222
BR06,麟光,1111,2211
BR07,六張犁,1111,2222
BR08,科技大樓,3211,2222
BR09,大安,2222,2222
BR10,大安森林公園,3222,3333
BR11,忠孝復興,2212,3233
BR12,南京復興,2223,3223
BR13,中山國中,3233,3233
BR14,松山機場,3232,3233
BR15,大直,2121,3122
BR16,劍南路,2121,1211
BR17,西湖,3322,1111
BR18,港墘,2222,1111
BR19,文德,2212,1111
BR20,內湖,2212,1111
BR21,大湖公園,1112,1111
BR22,葫洲,1122,1111
BR23,東湖,----,1111
BR24,南港展覽館,3223,1111
==10:06:23==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,----
BR04,萬芳醫院,----,1112
BR05,辛亥,1111,1112
BR06,麟光,1111,----
BR07,六張犁,----,----
BR08,科技大樓,2111,2233
BR09,大安,----,3233
BR10,大安森林公園,----,3322
