==00:07:39==,,,
編號,站名,往松山,往新店
G01,新店,----,----
G02,新店區公所,----,----
G03,七張,111111,111111
G04,大坪林,----,----
G05,景美,----,111111
G06,萬隆,----,----
G07,公館,----,----
G08,台電大樓,----,----
G09,古亭,111111,----
G10,中正紀念堂,----,----
G11,小南門,----,----
G12,西門,----,111111
G13,北門,----,----
G14,中山,111111,----
G15,松江南京,----,----
G16,南京復興,----,----
G17,台北小巨蛋,111111,----
G18,南京三民,----,111111
G19,松山,----,----
==11:04:38==,,,
G01,新店,----,----
G02,新店區公所,----,111111
G03,七張,111111,----
G04,大坪林,----,111111
G05,景美,----,----
G06,萬隆,----,----
G07,公館,222221,----
G08,台電大樓,----,122211
G09,古亭,----,----
G10,中正紀念堂,----,----
G11,小南門,111221,----
G12,西門,----,111121
G13,北門,----,----
G14,中山,222221,----
G15,松江南京,----,----
G16,南京復興,----,111121
G17,台北小巨蛋,----,----
G18,南京三民,111111,----
G19,松山,----,111111
