==12:08:34==,,,
編號,站名,往松山,往新店
G01,新店,----,----
G02,新店區公所,----,111111
G03,七張,----,----
G04,大坪林,112111,----
G05,景美,----,111111
G06,萬隆,----,----
G07,公館,122221,111111
G08,台電大樓,----,----
G09,古亭,----,----
G10,中正紀念堂,----,----
G11,小南門,122111,----
G12,西門,----,111112
G13,北門,----,----
G14,中山,111111,----
G15,松江南京,----,111112
G16,南京復興,----,----
G17,台北小巨蛋,111111,----
G18,南京三民,----,----
G19,松山,----,111111
==13:00:07==,,,
G01,新店,----,----
G02,新店區公所,----,111111
G03,七張,----,----
G04,大坪林,111111,----
G05,景美,----,122211
G06,萬隆,122211,----
G07,公館,----,----
G08,台電大樓,----,----
G09,古亭,----,122221
G10,中正紀念堂,122222,----
G11,小南門,----,----
G12,西門,----,----
G13,北門,----,122211
G14,中山,112221,----
G15,松江南京,----,111111
G16,南京復興,----,----
G17,台北小巨蛋,121111,----
G18,南京三民,111111,111111
G19,松山,----,----
==14:00:06==,,,
G01,新店,----,----
G02,新店區公所,----,111111
G03,七張,----,----
G04,大坪林,111111,111111
G05,景美,----,----
G06,萬隆,----,----
G07,公館,----,111111
G08,台電大樓,122221,----
G09,古亭,----,----
G10,中正紀念堂,----,----
G11,小南門,----,122121
G12,西門,111211,----
G13,北門,----,----
G14,中山,----,----
G15,松江南京,122111,112222
G16,南京復興,----,----
G17,台北小巨蛋,----,----
G18,南京三民,111111,111111
G19,松山,----,111111
==15:01:05==,,,
G01,新店,111111,----
G02,新店區公所,----,----
G03,七張,----,----
G04,大坪林,----,111111
G05,景美,111111,----
G06,萬隆,----,----
G07,公館,----,111111
G08,台電大樓,122221,----
G09,古亭,----,----
G10,中正紀念堂,----,112111
G11,小南門,----,----
G12,西門,111111,----
G13,北門,----,----
G14,中山,112111,122111
G15,松江南京,----,----
G16,南京復興,----,----
G17,台北小巨蛋,----,----
G18,南京三民,111111,111111
G19,松山,----,111111
==16:10:34==,,,
G01,新店,----,----
G02,新店區公所,----,111111
G03,七張,----,----
G04,大坪林,121111,----
G05,景美,----,112221
G06,萬隆,----,----
G07,公館,111111,----
G08,台電大樓,----,112111
G09,古亭,112211,----
G10,中正紀念堂,----,----
G11,小南門,112221,111111
G12,西門,----,----
G13,北門,----,----
G14,中山,112221,----
G15,松江南京,----,111222
G16,南京復興,----,----
G17,台北小巨蛋,----,----
G18,南京三民,111111,----
G19,松山,----,111111
==17:01:35==,,,
G01,新店,111111,----
G02,新店區公所,----,111111
G03,七張,----,----
G04,大坪林,112111,----
G05,景美,----,222221
G06,萬隆,----,----
G07,公館,112111,----
G08,台電大樓,----,111111
G09,古亭,111111,233322
G10,中正紀念堂,111111,----
G11,小南門,----,----
G12,西門,111111,111121
G13,北門,----,----
G14,中山,111111,112111
G15,松江南京,111111,----
G16,南京復興,----,111222
G17,台北小巨蛋,111111,111111
G18,南京三民,111111,----
G19,松山,111111,111111
==18:07:52==,,,
G01,新店,111111,----
G02,新店區公所,----,----
G03,七張,111111,112211
G04,大坪林,222211,----
G05,景美,----,122222
G06,萬隆,----,222221
G07,公館,----,----
G08,台電大樓,122221,111111
G09,古亭,222221,223322
G10,中正紀念堂,222222,----
G11,小南門,----,222222
G12,西門,----,----
G13,北門,111111,223222
G14,中山,122211,122222
G15,松江南京,122111,112222
G16,南京復興,111111,----
G17,台北小巨蛋,121111,222221
G18,南京三民,----,121221
G19,松山,----,111121
==19:00:12==,,,
G01,新店,111111,----
G02,新店區公所,111111,----
G03,七張,----,----
G04,大坪林,222211,222222
G05,景美,----,222222
G06,萬隆,----,222221
G07,公館,111111,----
G08,台電大樓,122221,111111
G09,古亭,----,333332
G10,中正紀念堂,222222,----
G11,小南門,----,----
G12,西門,111111,232222
G13,北門,----,222222
G14,中山,111111,122222
G15,松江南京,122111,----
G16,南京復興,----,222332
G17,台北小巨蛋,121111,122222
G18,南京三民,111111,----
G19,松山,----,111111
==20:06:50==,,,
G01,新店,111111,----
G02,新店區公所,----,111111
G03,七張,111111,111111
G04,大坪林,----,----
G05,景美,111111,----
G06,萬隆,----,----
G07,公館,111111,222222
G08,台電大樓,----,----
G09,古亭,111111,111111
G10,中正紀念堂,----,111111
G11,小南門,111111,----
G12,西門,111111,----
G13,北門,----,122222
G14,中山,----,----
G15,松江南京,111111,222111
G16,南京復興,----,----
G17,台北小巨蛋,111111,111111
G18,南京三民,121111,----
G19,松山,----,111111
==21:09:39==,,,
G01,新店,----,----
G02,新店區公所,111111,111111
G03,七張,----,----
G04,大坪林,----,----
G05,景美,111111,112211
G06,萬隆,----,----
G07,公館,----,----
G08,台電大樓,111221,----
G09,古亭,----,111111
G10,中正紀念堂,----,----
G11,小南門,112121,121111
G12,西門,----,----
G13,北門,----,----
G14,中山,112111,122122
G15,松江南京,----,111121
G16,南京復興,----,----
G17,台北小巨蛋,111111,111111
G18,南京三民,111111,----
G19,松山,111111,----
==22:09:40==,,,
G01,新店,----,----
G02,新店區公所,111111,111111
G03,七張,----,----
G04,大坪林,----,----
G05,景美,----,122221
G06,萬隆,111111,----
G07,公館,----,----
G08,台電大樓,----,----
G09,古亭,111111,222222
G10,中正紀念堂,----,----
G11,小南門,----,----
G12,西門,----,222222
G13,北門,111111,----
G14,中山,----,----
G15,松江南京,121111,111222
G16,南京復興,----,----
G17,台北小巨蛋,----,----
G18,南京三民,111111,----
G19,松山,----,111111
