==00:02:57==,,,
編號,站名,往松山,往新店
G01,新店,111111,----
G02,新店區公所,----,----
G03,七張,----,111111
G04,大坪林,----,----
G05,景美,----,----
G06,萬隆,111111,----
G07,公館,----,----
G08,台電大樓,----,111111
G09,古亭,----,----
G10,中正紀念堂,----,----
G11,小南門,----,----
G12,西門,----,----
G13,北門,111111,----
G14,中山,----,111111
G15,松江南京,----,----
G16,南京復興,----,----
G17,台北小巨蛋,111111,----
G18,南京三民,----,----
G19,松山,----,111111
==06:00:06==,,,
G01,新店,----,----
G02,新店區公所,----,----
G03,七張,----,111111
G04,大坪林,----,----
G05,景美,----,----
G06,萬隆,----,----
G07,公館,----,----
G08,台電大樓,----,111111
G09,古亭,----,----
G10,中正紀念堂,----,----
G11,小南門,----,----
G12,西門,----,----
G13,北門,----,----
G14,中山,----,----
G15,松江南京,----,----
G16,南京復興,----,----
G17,台北小巨蛋,111111,----
G18,南京三民,----,----
G19,松山,----,----
==07:00:05==,,,
G01,新店,111111,----
G02,新店區公所,----,----
G03,七張,----,----
G04,大坪林,111111,111111
G05,景美,----,----
G06,萬隆,111111,111111
G07,公館,111111,----
G08,台電大樓,111111,111111
G09,古亭,----,----
G10,中正紀念堂,111111,----
G11,小南門,111111,----
G12,西門,----,111111
G13,北門,111111,----
G14,中山,111111,111111
G15,松江南京,111111,111111
G16,南京復興,----,----
G17,台北小巨蛋,----,111111
G18,南京三民,111111,111111
G19,松山,----,----
==10:10:43==,,,
G01,新店,----,----
G02,新店區公所,----,111111
G03,七張,----,----
G04,大坪林,122211,----
G05,景美,----,----
G06,萬隆,----,122221
G07,公館,----,----
G08,台電大樓,122221,112211
G09,古亭,----,----
G10,中正紀念堂,111111,----
G11,小南門,----,111111
G12,西門,----,----
G13,北門,111111,----
G14,中山,----,111111
G15,松江南京,222211,111111
G16,南京復興,----,----
G17,台北小巨蛋,----,111111
G18,南京三民,111111,----
G19,松山,----,111111
==11:00:05==,,,
G01,新店,----,----
G02,新店區公所,----,111111
G03,七張,----,111111
G04,大坪林,112211,----
G05,景美,----,----
