==06:00:05==,,,
編號,站名,往松山,往新店
G01,新店,----,----
G02,新店區公所,----,----
G03,七張,----,111111
G04,大坪林,----,----
G05,景美,----,----
G06,萬隆,----,----
G07,公館,----,----
G08,台電大樓,----,111111
G09,古亭,----,----
G10,中正紀念堂,----,----
G11,小南門,----,----
G12,西門,----,----
G13,北門,----,----
G14,中山,----,----
G15,松江南京,----,----
G16,南京復興,----,----
G17,台北小巨蛋,----,----
G18,南京三民,111111,----
G19,松山,----,----
==07:00:05==,,,
G01,新店,111111,----
G02,新店區公所,----,----
G03,七張,----,----
G04,大坪林,111111,111111
G05,景美,----,----
G06,萬隆,111111,111111
G07,公館,111111,----
G08,台電大樓,111111,111111
G09,古亭,----,----
G10,中正紀念堂,111111,----
G11,小南門,111111,----
G12,西門,----,111111
G13,北門,111111,----
G14,中山,111111,111111
G15,松江南京,----,111111
G16,南京復興,111111,----
G17,台北小巨蛋,111111,111111
G18,南京三民,111111,----
G19,松山,----,111111
==09:00:03==,,,
G01,新店,----,----
G02,新店區公所,----,111111
G03,七張,----,111111
G04,大坪林,111111,----
G05,景美,122221,----
G06,萬隆,----,----
G07,公館,222221,112221
G08,台電大樓,111111,122211
G09,古亭,122222,----
G10,中正紀念堂,----,111111
G11,小南門,122221,111111
G12,西門,222322,----
G13,北門,----,111111
G14,中山,222222,----
G15,松江南京,333222,111111
G16,南京復興,----,----
G17,台北小巨蛋,221121,111111
G18,南京三民,111111,111111
G19,松山,----,111111
==11:12:56==,,,
G01,新店,111111,----
G02,新店區公所,----,----
G03,七張,----,111111
G04,大坪林,----,----
G05,景美,112111,----
G06,萬隆,----,----
G07,公館,----,112111
G08,台電大樓,122221,----
G09,古亭,----,----
G10,中正紀念堂,----,----
G11,小南門,----,111111
G12,西門,221221,----
G13,北門,----,----
G14,中山,----,111111
G15,松江南京,----,----
G16,南京復興,111111,111111
G17,台北小巨蛋,----,----
G18,南京三民,111111,----
G19,松山,----,111111
==13:14:30==,,,
G01,新店,----,----
G02,新店區公所,----,----
G03,七張,----,111111
G04,大坪林,112211,----
G05,景美,----,111111
G06,萬隆,----,----
G07,公館,122211,----
G08,台電大樓,----,122211
G09,古亭,----,----
G10,中正紀念堂,----,----
G11,小南門,111211,111111
G12,西門,----,----
G13,北門,----,----
G14,中山,112221,----
G15,松江南京,----,222111
G16,南京復興,----,----
G17,台北小巨蛋,----,----
G18,南京三民,111111,----
G19,松山,----,111111
==14:00:02==,,,
G01,新店,----,----
G02,新店區公所,----,111111
G03,七張,----,----
G04,大坪林,112111,111111
G05,景美,----,----
G06,萬隆,----,111111
G07,公館,----,----
G08,台電大樓,122221,----
G09,古亭,----,----
G10,中正紀念堂,----,----
G11,小南門,----,122222
G12,西門,111121,----
G13,北門,----,----
G14,中山,----,----
G15,松江南京,111111,111222
G16,南京復興,----,----
G17,台北小巨蛋,121111,----
G18,南京三民,111111,111111
G19,松山,----,----
==15:00:05==,,,
G01,新店,----,----
G02,新店區公所,111111,----
G03,七張,----,111111
G04,大坪林,----,----
G05,景美,----,----
G06,萬隆,111111,----
G07,公館,----,222211
G08,台電大樓,----,----
G09,古亭,112221,----
G10,中正紀念堂,----,122221
G11,小南門,----,----
G12,西門,----,----
G13,北門,121111,112111
G14,中山,----,----
G15,松江南京,----,----
G16,南京復興,122111,111122
G17,台北小巨蛋,----,----
G18,南京三民,111111,----
G19,松山,----,111111
==16:00:04==,,,
G01,新店,111111,----
G02,新店區公所,----,111111
G03,七張,----,----
G04,大坪林,111111,----
G05,景美,----,112211
G06,萬隆,122211,----
G07,公館,----,----
G08,台電大樓,----,112221
G09,古亭,----,----
G10,中正紀念堂,112221,----
G11,小南門,----,----
G12,西門,----,----
G13,北門,----,111211
G14,中山,111211,----
G15,松江南京,----,221111
G16,南京復興,----,----
G17,台北小巨蛋,111111,----
G18,南京三民,111111,111111
G19,松山,----,----
==17:00:08==,,,
G01,新店,----,----
G02,新店區公所,111111,111111
G03,七張,----,111111
G04,大坪林,----,----
G05,景美,111111,----
G06,萬隆,111111,----
G07,公館,----,233332
G08,台電大樓,112211,----
G09,古亭,122221,111111
G10,中正紀念堂,----,----
G11,小南門,111111,122221
