==06:00:06==,,,
編號,站名,往淡水,往象山
R02,象山,----,----
R03,台北101/世貿,111111,----
R04,信義安和,----,----
R05,大安,----,----
R06,大安森林公園,111111,----
R07,東門,----,----
R08,中正紀念堂,----,----
R09,台大醫院,----,----
R10,台北車站,----,----
R11,中山,----,----
R12,雙連,----,----
R13,民權西路,----,----
R14,圓山,----,----
R15,劍潭,----,----
R16,士林,----,----
R17,芝山,----,----
R18,明德,----,111111
R19,石牌,----,----
R20,唭哩岸,----,----
R21,奇岩,----,----
R22,北投,----,----
R23,新北投,----,----
R24,復興崗,----,----
R25,忠義,----,111111
R26,關渡,----,111111
R27,竹圍,----,111111
R28,淡水,----,----
==07:00:04==,,,
R02,象山,111111,----
R03,台北101/世貿,----,111111
R04,信義安和,111111,----
R05,大安,----,----
R06,大安森林公園,111111,111111
R07,東門,----,111111
R08,中正紀念堂,111111,----
R09,台大醫院,----,121111
R10,台北車站,111112,----
R11,中山,111111,----
R12,雙連,----,121212
R13,民權西路,222222,----
R14,圓山,----,122111
R15,劍潭,111111,----
R16,士林,----,----
R17,芝山,222222,122211
R18,明德,111111,----
R19,石牌,----,----
R20,唭哩岸,122221,111111
R21,奇岩,111111,----
R22,北投,----,----
R23,新北投,222222,111111
R24,復興崗,----,----
R25,忠義,----,111111
R26,關渡,222222,111111
R27,竹圍,----,111111
R28,淡水,112221,----
==08:14:55==,,,
R02,象山,111111,----
R03,台北101/世貿,111111,----
R04,信義安和,----,111111
R05,大安,222222,111111
R06,大安森林公園,332233,----
R07,東門,----,111111
R08,中正紀念堂,222222,222221
R09,台大醫院,222222,222222
R10,台北車站,223223,----
R11,中山,323323,323333
R12,雙連,----,----
R13,民權西路,----,----
R14,圓山,444343,222222
R15,劍潭,333333,232222
R16,士林,443444,----
R17,芝山,333323,111111
R18,明德,----,122222
R19,石牌,333333,----
R20,唭哩岸,232333,----
R21,奇岩,----,111111
R22,北投,222232,112211
R23,新北投,----,----
R24,復興崗,----,111111
R25,忠義,233333,111111
R26,關渡,----,----
R27,竹圍,222322,111111
R28,淡水,----,----
==10:08:26==,,,
R02,象山,----,----
R03,台北101/世貿,111111,----
R04,信義安和,----,----
R05,大安,111111,----
R06,大安森林公園,222221,111111
R07,東門,----,----
R08,中正紀念堂,122111,111111
R09,台大醫院,----,122221
R10,台北車站,----,----
R11,中山,332223,----
R12,雙連,----,111111
R13,民權西路,----,232222
R14,圓山,222222,----
R15,劍潭,----,----
R16,士林,222222,----
R17,芝山,----,111111
R18,明德,111121,----
R19,石牌,----,111111
R20,唭哩岸,----,111111
R21,奇岩,122221,----
R22,北投,----,111111
R23,新北投,----,112211
R24,復興崗,----,----
R25,忠義,----,----
R26,關渡,112221,111111
R27,竹圍,----,----
R28,淡水,----,111111
==16:00:06==,,,
R02,象山,----,111111
R03,台北101/世貿,----,----
R04,信義安和,----,----
R05,大安,111111,----
R06,大安森林公園,----,----
R07,東門,----,111222
R08,中正紀念堂,111111,121221
R09,台大醫院,----,----
R10,台北車站,222121,----
R11,中山,----,222222
R12,雙連,212222,----
R13,民權西路,----,----
R14,圓山,----,221111
R15,劍潭,222222,----
R16,士林,----,222222
R17,芝山,111111,----
R18,明德,----,----
R19,石牌,----,111111
R20,唭哩岸,122221,----
R21,奇岩,----,111111
R22,北投,----,----
R23,新北投,----,----
R24,復興崗,----,----
R25,忠義,122211,122211
R26,關渡,----,----
R27,竹圍,----,111111
R28,淡水,111111,----
==16:30:27==,,,
R02,象山,111111,----
R03,台北101/世貿,----,----
R04,信義安和,----,----
R05,大安,111111,223322
R06,大安森林公園,----,----
R07,東門,121111,222211
R08,中正紀念堂,----,----
R09,台大醫院,121112,222322
R10,台北車站,----,----
R11,中山,----,----
R12,雙連,223233,222222
R13,民權西路,111111,----
R14,圓山,----,323222
R15,劍潭,222333,----
R16,士林,----,----
R17,芝山,222222,112111
R18,明德,111122,----
R19,石牌,----,222322
R20,唭哩岸,111111,----
R21,奇岩,----,----
R22,北投,----,111111
R23,新北投,122221,----
R24,復興崗,----,222221
R25,忠義,----,----
R26,關渡,111111,----
R27,竹圍,----,111111
R28,淡水,111111,----
==17:00:06==,,,
R02,象山,111111,----
R03,台北101/世貿,----,----
R04,信義安和,----,122122
R05,大安,222221,111111
R06,大安森林公園,111111,----
R07,東門,----,222222
R08,中正紀念堂,112111,----
R09,台大醫院,111111,222222
R10,台北車站,111111,----
R11,中山,111112,----
R12,雙連,----,233333
R13,民權西路,----,----
R14,圓山,222222,222222
R15,劍潭,111221,----
R16,士林,222222,233222
R17,芝山,----,----
R18,明德,111111,----
R19,石牌,----,112111
R20,唭哩岸,112221,----
R21,奇岩,111111,----
R22,北投,----,223322
R23,新北投,122221,----
R24,復興崗,----,111111
R25,忠義,----,223222
R26,關渡,111111,----
R27,竹圍,----,----
R28,淡水,----,112211
==18:00:05==,,,
R02,象山,----,----
R03,台北101/世貿,----,121111
R04,信義安和,111111,222222
R05,大安,----,----
R06,大安森林公園,221111,222223
R07,東門,----,222322
R08,中正紀念堂,111111,----
R09,台大醫院,222212,222232
R10,台北車站,121111,333332
R11,中山,----,----
R12,雙連,----,332233
R13,民權西路,323333,----
R14,圓山,222222,333322
R15,劍潭,222333,333232
R16,士林,----,----
R17,芝山,222122,233322
R18,明德,222222,222222
R19,石牌,----,----
R20,唭哩岸,111111,222322
R21,奇岩,----,111111
R22,北投,122221,----
R23,新北投,----,222311
R24,復興崗,122211,----
R25,忠義,----,223321
R26,關渡,----,----
R27,竹圍,111111,----
