==00:08:42==,,,
編號,站名,往淡水,往象山
R02,象山,----,----
R03,台北101/世貿,----,111111
R04,信義安和,111111,----
R05,大安,----,----
R06,大安森林公園,----,----
R07,東門,----,111111
R08,中正紀念堂,----,----
R09,台大醫院,111111,----
R10,台北車站,----,----
R11,中山,----,----
R12,雙連,----,----
R13,民權西路,----,222222
R14,圓山,----,----
R15,劍潭,----,----
R16,士林,211111,----
R17,芝山,----,----
R18,明德,----,----
R19,石牌,----,111211
R20,唭哩岸,----,----
R21,奇岩,----,----
R22,北投,111111,----
R23,新北投,----,----
R24,復興崗,----,----
R25,忠義,----,111111
R26,關渡,----,----
R27,竹圍,111111,111111
R28,淡水,----,----
==06:09:48==,,,
R02,象山,----,----
R03,台北101/世貿,111111,----
R04,信義安和,----,111111
R05,大安,----,----
R06,大安森林公園,----,----
R07,東門,----,111111
R08,中正紀念堂,111111,----
R09,台大醫院,----,----
R10,台北車站,----,----
R11,中山,111111,----
R12,雙連,----,111111
R13,民權西路,----,----
R14,圓山,111122,----
R15,劍潭,----,----
R16,士林,----,----
R17,芝山,111111,111111
R18,明德,111111,----
R19,石牌,----,----
R20,唭哩岸,111111,----
R21,奇岩,----,----
R22,北投,----,111111
R23,新北投,111111,----
R24,復興崗,----,----
R25,忠義,----,111111
R26,關渡,----,----
R27,竹圍,112111,111111
R28,淡水,----,----
==07:11:53==,,,
R02,象山,----,111111
R03,台北101/世貿,111111,----
R04,信義安和,----,----
R05,大安,----,----
R06,大安森林公園,----,111111
R07,東門,----,----
R08,中正紀念堂,111111,----
R09,台大醫院,----,----
R10,台北車站,----,112111
R11,中山,----,----
R12,雙連,----,----
R13,民權西路,222222,----
R14,圓山,----,111111
R15,劍潭,----,----
R16,士林,----,----
R17,芝山,222222,----
R18,明德,----,111111
R19,石牌,----,----
R20,唭哩岸,----,----
R21,奇岩,----,----
R22,北投,111111,111111
R23,新北投,----,----
R24,復興崗,----,----
R25,忠義,----,111111
R26,關渡,----,----
R27,竹圍,111111,111111
R28,淡水,----,111111
==08:10:21==,,,
R02,象山,----,----
R03,台北101/世貿,111111,----
R04,信義安和,----,----
R05,大安,111111,111111
R06,大安森林公園,----,----
R07,東門,----,111111
R08,中正紀念堂,111111,----
R09,台大醫院,111111,122222
R10,台北車站,----,----
R11,中山,----,111111
R12,雙連,222222,----
R13,民權西路,----,----
R14,圓山,----,111111
R15,劍潭,111111,----
R16,士林,----,111111
R17,芝山,221222,----
R18,明德,----,----
R19,石牌,----,111111
R20,唭哩岸,111111,----
R21,奇岩,----,----
R22,北投,222221,----
R23,新北投,----,111111
R24,復興崗,----,----
R25,忠義,----,----
R26,關渡,112211,111111
R27,竹圍,----,----
R28,淡水,----,111111
==09:04:02==,,,
R02,象山,----,----
R03,台北101/世貿,111111,----
R04,信義安和,----,----
R05,大安,111111,----
R06,大安森林公園,----,111111
R07,東門,111111,111111
R08,中正紀念堂,111111,----
R09,台大醫院,----,----
R10,台北車站,----,----
R11,中山,222222,111112
R12,雙連,----,----
R13,民權西路,----,122121
R14,圓山,211111,----
R15,劍潭,----,121111
R16,士林,222221,----
R17,芝山,----,----
R18,明德,111111,111111
R19,石牌,----,----
R20,唭哩岸,122221,----
R21,奇岩,----,111111
R22,北投,----,111111
R23,新北投,----,----
R24,復興崗,----,----
R25,忠義,112111,111111
R26,關渡,----,----
R27,竹圍,----,----
R28,淡水,111111,----
==10:05:33==,,,
R02,象山,----,----
R03,台北101/世貿,111111,----
R04,信義安和,----,----
R05,大安,111111,111111
R06,大安森林公園,----,----
R07,東門,111111,111111
R08,中正紀念堂,----,----
R09,台大醫院,111111,111111
R10,台北車站,----,----
R11,中山,----,----
R12,雙連,222232,221122
R13,民權西路,----,----
R14,圓山,----,----
R15,劍潭,221211,111111
R16,士林,222221,----
R17,芝山,----,111111
R18,明德,111111,----
R19,石牌,----,111111
R20,唭哩岸,222221,----
R21,奇岩,----,----
R22,北投,111111,----
R23,新北投,----,----
R24,復興崗,----,111111
R25,忠義,112211,----
R26,關渡,----,----
R27,竹圍,----,111111
R28,淡水,111111,----
==11:00:20==,,,
R02,象山,----,111111
R03,台北101/世貿,----,----
R04,信義安和,----,----
R05,大安,111111,----
R06,大安森林公園,----,----
R07,東門,111111,111111
R08,中正紀念堂,----,122221
R09,台大醫院,222111,----
R10,台北車站,----,----
R11,中山,221122,111122
R12,雙連,----,----
R13,民權西路,----,122222
R14,圓山,222222,----
R15,劍潭,222221,----
R16,士林,----,221211
R17,芝山,----,----
R18,明德,222222,111111
R19,石牌,----,----
R20,唭哩岸,111111,----
R21,奇岩,----,111111
R22,北投,122221,111111
R23,新北投,----,----
R24,復興崗,----,----
R25,忠義,----,----
R26,關渡,112211,111111
R27,竹圍,----,----
R28,淡水,----,111111
==12:03:10==,,,
R02,象山,----,----
R03,台北101/世貿,----,111111
R04,信義安和,121111,----
R05,大安,----,111111
R06,大安森林公園,111111,----
R07,東門,----,111111
R08,中正紀念堂,122111,----
R09,台大醫院,----,112211
R10,台北車站,111111,----
R11,中山,----,----
R12,雙連,222222,122222
R13,民權西路,----,----
R14,圓山,222222,111111
R15,劍潭,----,----
R16,士林,----,111111
R17,芝山,222222,----
R18,明德,----,----
R19,石牌,111111,111111
R20,唭哩岸,----,----
R21,奇岩,----,----
R22,北投,222211,111111
R23,新北投,----,----
R24,復興崗,----,----
R25,忠義,----,111111
R26,關渡,112211,----
R27,竹圍,----,----
R28,淡水,111111,----
==13:09:37==,,,
R02,象山,----,111111
