==06:03:22==,,,
編號,站名,往淡水,往象山
R02,象山,----,----
R03,台北101/世貿,----,----
R04,信義安和,----,----
R05,大安,----,----
R06,大安森林公園,----,----
R07,東門,----,----
R08,中正紀念堂,----,----
R09,台大醫院,----,----
R10,台北車站,----,----
R11,中山,----,----
R12,雙連,----,----
R13,民權西路,----,----
R14,圓山,----,----
R15,劍潭,----,----
R16,士林,----,----
R17,芝山,111111,----
R18,明德,----,----
R19,石牌,----,----
R20,唭哩岸,----,----
R21,奇岩,111111,----
R22,北投,----,----
R23,新北投,----,----
R24,復興崗,----,----
R25,忠義,111111,----
R26,關渡,----,----
R27,竹圍,----,----
R28,淡水,----,----
==07:11:43==,,,
R02,象山,----,111111
R03,台北101/世貿,111111,----
R04,信義安和,----,111111
R05,大安,111111,----
R06,大安森林公園,221111,----
R07,東門,111111,111111
R08,中正紀念堂,111111,122221
R09,台大醫院,----,----
R10,台北車站,112111,----
R11,中山,211112,122222
R12,雙連,----,----
R13,民權西路,222222,----
R14,圓山,----,232222
R15,劍潭,222222,----
R16,士林,222122,----
R17,芝山,----,----
R18,明德,----,111111
R19,石牌,222222,----
R20,唭哩岸,111121,112211
R21,奇岩,----,111111
R22,北投,222332,----
R23,新北投,----,----
R24,復興崗,----,111111
R25,忠義,223322,----
R26,關渡,----,----
R27,竹圍,----,111111
R28,淡水,112221,111111
==09:06:50==,,,
R02,象山,----,111111
R03,台北101/世貿,111111,111111
R04,信義安和,111122,----
R05,大安,----,----
R06,大安森林公園,222222,111111
R07,東門,----,111111
R08,中正紀念堂,222222,111111
R09,台大醫院,222222,111111
R10,台北車站,222222,----
R11,中山,----,121122
R12,雙連,222222,----
R13,民權西路,----,----
R14,圓山,222222,111111
R15,劍潭,----,222222
R16,士林,222222,----
R17,芝山,----,111111
R18,明德,111111,----
R19,石牌,----,112221
R20,唭哩岸,222222,111111
R21,奇岩,----,111111
R22,北投,----,----
R23,新北投,122222,----
R24,復興崗,----,112211
R25,忠義,----,----
R26,關渡,222222,111111
R27,竹圍,----,111111
R28,淡水,----,----
==10:06:22==,,,
R02,象山,----,----
R03,台北101/世貿,111111,----
R04,信義安和,----,----
R05,大安,111111,----
R06,大安森林公園,222222,111111
R07,東門,----,111111
R08,中正紀念堂,121111,222222
R09,台大醫院,----,----
R10,台北車站,----,----
R11,中山,322222,222222
R12,雙連,----,----
R13,民權西路,----,----
R14,圓山,222222,----
R15,劍潭,----,----
R16,士林,222222,222211
R17,芝山,----,----
R18,明德,211121,----
R19,石牌,----,111111
R20,唭哩岸,----,111111
R21,奇岩,222222,----
R22,北投,----,111111
R23,新北投,----,111111
R24,復興崗,----,----
R25,忠義,----,111111
R26,關渡,122211,111111
R27,竹圍,----,----
R28,淡水,111111,----
==11:09:12==,,,
R02,象山,----,111111
R03,台北101/世貿,----,----
R04,信義安和,111111,----
R05,大安,----,111111
R06,大安森林公園,----,----
R07,東門,111111,211111
R08,中正紀念堂,----,----
R09,台大醫院,222122,111111
R10,台北車站,----,----
R11,中山,222122,----
R12,雙連,----,----
R13,民權西路,----,222222
R14,圓山,----,----
R15,劍潭,222222,121111
R16,士林,111121,----
R17,芝山,----,212211
R18,明德,----,----
R19,石牌,222222,----
R20,唭哩岸,----,111111
R21,奇岩,----,----
R22,北投,111111,111211
R23,新北投,----,----
R24,復興崗,222221,----
R25,忠義,----,----
R26,關渡,----,111211
R27,竹圍,----,----
R28,淡水,111111,----
==12:04:15==,,,
R02,象山,----,----
R03,台北101/世貿,----,111111
R04,信義安和,212111,----
R05,大安,----,111111
R06,大安森林公園,----,----
R07,東門,111111,----
R08,中正紀念堂,----,221111
R09,台大醫院,122111,----
R10,台北車站,----,----
R11,中山,----,----
R12,雙連,222232,122222
R13,民權西路,----,----
R14,圓山,----,122121
R15,劍潭,222232,----
R16,士林,111121,----
R17,芝山,----,222121
R18,明德,----,----
R19,石牌,222222,----
R20,唭哩岸,----,111111
R21,奇岩,----,----
R22,北投,111111,112211
R23,新北投,----,----
R24,復興崗,122221,----
R25,忠義,----,----
R26,關渡,----,122211
R27,竹圍,----,111111
R28,淡水,111111,----
==13:11:57==,,,
R02,象山,----,111111
R03,台北101/世貿,----,----
R04,信義安和,----,----
R05,大安,111111,----
R06,大安森林公園,----,112222
R07,東門,222222,----
R08,中正紀念堂,121111,122111
R09,台大醫院,----,----
R10,台北車站,----,222332
R11,中山,232333,----
R12,雙連,----,----
R13,民權西路,222232,121121
R14,圓山,----,----
R15,劍潭,----,222222
R16,士林,222322,----
R17,芝山,----,----
R18,明德,211121,111111
R19,石牌,----,----
R20,唭哩岸,----,222222
R21,奇岩,222222,111111
R22,北投,----,----
R23,新北投,----,----
R24,復興崗,----,----
R25,忠義,222222,222211
R26,關渡,----,----
R27,竹圍,----,112111
R28,淡水,----,----
==14:00:21==,,,
R02,象山,----,111111
R03,台北101/世貿,----,----
R04,信義安和,----,----
R05,大安,221121,111111
R06,大安森林公園,----,----
R07,東門,----,----
R08,中正紀念堂,111111,----
R09,台大醫院,----,121221
R10,台北車站,222222,----
R11,中山,----,223222
R12,雙連,221222,----
R13,民權西路,----,----
R14,圓山,222232,121112
R15,劍潭,----,----
R16,士林,----,222222
R17,芝山,211121,----
R18,明德,----,----
R19,石牌,----,----
R20,唭哩岸,222221,111111
R21,奇岩,----,222221
R22,北投,111111,----
R23,新北投,----,----
R24,復興崗,122211,----
R25,忠義,----,122211
R26,關渡,----,----
R27,竹圍,----,----
R28,淡水,111111,----
==15:10:16==,,,
R02,象山,----,----
R03,台北101/世貿,----,111121
R04,信義安和,212111,----
R05,大安,----,----
R06,大安森林公園,111111,111111
R07,東門,----,122222
R08,中正紀念堂,122221,----
R09,台大醫院,----,----
R10,台北車站,----,121122
R11,中山,122222,----
R12,雙連,----,----
R13,民權西路,----,222222
R14,圓山,222222,----
R15,劍潭,----,121112
R16,士林,111122,----
R17,芝山,----,----
R18,明德,122222,222221
R19,石牌,----,----
R20,唭哩岸,----,----
R21,奇岩,111111,111111
R22,北投,----,222221
R23,新北投,122211,----
R24,復興崗,----,----
R25,忠義,----,----
R26,關渡,----,----
R27,竹圍,111221,112111
R28,淡水,----,111111
==21:02:16==,,,
R02,象山,----,----
R03,台北101/世貿,----,----
R04,信義安和,----,122222
R05,大安,111111,----
R06,大安森林公園,----,111111
R07,東門,111111,----
R08,中正紀念堂,----,----
R09,台大醫院,121122,211121
R10,台北車站,----,122222
R11,中山,221122,----
R12,雙連,----,333332
R13,民權西路,----,----
R14,圓山,221222,----
R15,劍潭,----,222222
R16,士林,111111,----
R17,芝山,----,223222
R18,明德,111111,----
R19,石牌,----,----
R20,唭哩岸,----,----
R21,奇岩,111111,111111
R22,北投,----,----
R23,新北投,111211,223222
R24,復興崗,----,----
R25,忠義,----,----
R26,關渡,----,----
R27,竹圍,111111,----
R28,淡水,----,111111
==22:02:37==,,,
R02,象山,----,111111
R03,台北101/世貿,----,----
R04,信義安和,----,----
R05,大安,111111,----
R06,大安森林公園,----,----
R07,東門,----,222222
R08,中正紀念堂,111112,----
R09,台大醫院,----,121212
R10,台北車站,111122,----
R11,中山,----,----
R12,雙連,----,----
R13,民權西路,111122,333222
R14,圓山,----,333323
R15,劍潭,111221,----
R16,士林,----,----
R17,芝山,111111,323222
R18,明德,----,----
R19,石牌,111111,111221
R20,唭哩岸,----,----
R21,奇岩,----,----
R22,北投,111111,222222
R23,新北投,111111,----
R24,復興崗,----,----
R25,忠義,----,222211
R26,關渡,----,----
R27,竹圍,111111,212211
R28,淡水,----,----
==23:15:20==,,,
R02,象山,111111,----
R03,台北101/世貿,----,----
R04,信義安和,----,----
R05,大安,111111,----
R06,大安森林公園,----,----
R07,東門,----,111111
R08,中正紀念堂,211112,----
R09,台大醫院,----,----
R10,台北車站,----,----
R11,中山,----,122222
R12,雙連,----,----
R13,民權西路,111111,----
R14,圓山,----,111111
R15,劍潭,----,----
R16,士林,----,212111
R17,芝山,111111,----
R18,明德,----,111111
R19,石牌,----,----
R20,唭哩岸,----,112211
R21,奇岩,----,----
R22,北投,111111,111111
R23,新北投,----,----
R24,復興崗,----,112211
R25,忠義,----,----
R26,關渡,----,----
R27,竹圍,111111,111111
R28,淡水,----,----
